TAHUN,NEGERI,"JUMLAH 
KMLG","JUMLAH 
KMLG 
MAUT","JUMLAH 
KMLG 
PARAH","JUMLAH 
KMLG 
RINGAN","JUMLAH 
KMLG 
ROSAK 
SAHAJA","JUMLAH 
KEMATIAN","JUMLAH 
CEDERA 
PARAH","JUMLAH 
CEDERA 
RINGAN"
2011,PERLIS ,1791,73,231,246,1241,79,259,288
2011,KEDAH ,19699,506,499,1023,17671,515,608,1329
2011,PULAU PINANG ,37158,375,160,320,36303,392,197,380
2011,PERAK ,33506,739,700,1267,30800,811,898,1631
2011,SELANGOR,128876,1015,457,689,126715,1070,566,807
2011,KUALA LUMPUR ,58795,230,83,497,57985,236,83,498
2011,NEGERI SEMBILAN ,21157,343,444,945,19425,374,568,1221
2011,MELAKA ,14720,224,147,382,13967,240,195,509
2011,JOHOR ,59501,1001,366,1007,57127,1073,492,1254
2011,PAHANG ,19001,485,255,403,17858,563,447,661
2011,KELANTAN ,9603,343,620,1437,7203,392,800,1819
2011,TERENGGANU ,10684,274,251,349,9810,292,317,509
2011,SABAH  ,16585,350,428,467,15340,398,552,833
2011,SARAWAK ,17964,391,234,406,16933,442,346,626
2012,PERLIS ,1881,69,286,233,1293,71,323,277
2012,KEDAH ,19935,529,475,1036,17895,548,486,1074
2012,PULAU PINANG ,37851,373,129,176,37173,400,157,244
2012,PERAK ,34714,693,564,1072,32385,753,735,1583
2012,SELANGOR,129106,1053,408,693,126952,1102,458,744
2012,KUALA LUMPUR ,61872,241,70,357,61204,249,73,365
2012,NEGERI SEMBILAN ,22146,328,479,871,20468,352,595,1020
2012,MELAKA ,15195,222,169,406,14398,243,203,474
2012,JOHOR ,62316,985,378,1263,59690,1073,454,1388
2012,PAHANG ,20554,484,238,373,19459,540,369,592
2012,KELANTAN ,9968,347,500,1560,7561,392,647,1839
2012,TERENGGANU ,10861,270,264,413,9914,301,356,550
2012,SABAH  ,17446,398,516,470,16062,450,674,802
2012,SARAWAK ,18578,389,218,475,17496,443,338,702
2013,PERLIS ,1895,68,226,233,1368,72,248,278
2013,KEDAH ,20228,487,379,787,18575,517,403,881
2013,PULAU PINANG ,39361,371,132,76,38782,381,147,94
2013,PERAK ,35408,707,439,795,33467,770,576,1006
2013,SELANGOR,135024,964,164,356,133540,1019,217,407
2013,KUALA LUMPUR ,64527,226,71,67,64163,243,75,71
2013,NEGERI SEMBILAN ,23066,352,383,759,21572,396,502,984
2013,MELAKA ,16083,244,109,202,15528,258,145,260
2013,JOHOR ,64600,1032,271,1055,62242,1128,356,1233
2013,PAHANG ,20130,505,175,356,19094,592,299,541
2013,KELANTAN ,9748,340,396,917,8095,378,524,1167
2013,TERENGGANU ,10996,294,199,226,10277,320,256,323
2013,SABAH  ,17438,347,456,304,16331,420,597,585
2013,SARAWAK ,18700,371,167,390,17772,421,252,558
2014,PERLIS ,1888,58,220,268,1342,61,245,316
2014,KEDAH ,20159,495,362,863,18439,525,365,867
2014,PULAU PINANG ,38747,355,154,167,38071,378,178,194
2014,PERAK ,35131,685,438,688,33320,750,580,928
2014,SELANGOR,137809,1027,194,301,136287,1068,232,358
2014,KUALA LUMPUR ,63535,231,142,1166,61996,238,158,1184
2014,NEGERI SEMBILAN ,23748,346,329,689,22384,379,430,890
2014,MELAKA ,16375,222,187,131,15835,236,226,196
2014,JOHOR ,64473,946,193,687,62647,1018,281,759
2014,PAHANG ,19071,472,165,313,18121,539,270,458
2014,KELANTAN ,9383,321,274,807,7981,354,346,977
2014,TERENGGANU ,10326,255,194,325,9552,276,241,416
2014,SABAH  ,17693,384,443,373,16493,420,612,621
2014,SARAWAK ,17858,390,182,321,16965,432,268,434
2015,PERLIS ,1861,63,166,278,1354,65,193,340
2015,KEDAH ,22016,502,296,873,20345,530,301,884
2015,PULAU PINANG ,39856,354,164,124,39214,360,186,160
2015,PERAK ,36736,670,595,605,34866,726,740,965
2015,SELANGOR,140957,975,190,187,139605,1028,240,218
2015,KUALA LUMPUR ,64664,242,99,460,63863,256,130,502
2015,NEGERI SEMBILAN ,22939,334,337,690,21578,355,439,916
2015,MELAKA ,17069,227,136,63,16643,256,165,102
2015,JOHOR ,67112,955,136,384,65637,1040,216,466
2015,PAHANG ,19635,477,142,301,18715,532,237,456
2015,KELANTAN ,9960,379,220,841,8520,426,308,1059
2015,TERENGGANU ,10381,280,162,322,9617,307,225,411
2015,SABAH  ,17290,343,369,307,16271,392,480,544
2015,SARAWAK ,19130,392,198,298,18242,433,260,409
2017,PERLIS,1925,60,104,234,1527,62,115,256
2017,KEDAH,23262,528,187,654,21893,560,204,666
2017,PERAK,38587,658,299,268,37362,711,449,569
2017,PULAU PINANG,43007,382,158,97,42370,401,182,130
2017,SELANGOR,154958,1047,239,147,153525,1087,281,178
2017,KUALA LUMPUR,72940,233,69,788,71850,236,81,809
2017,NEGERI SEMBILAN ,24941,332,225,579,23805,370,286,703
2017,MELAKA,18771,217,67,34,18453,230,89,55
2017,JOHOR,76121,986,182,268,74685,1067,287,476
2017,PAHANG,20813,446,115,99,20153,485,197,226
2017,KELANTAN,10786,389,194,1002,9201,442,251,1277
2017,TERENGGANU,10713,299,79,201,10134,330,136,307
2017,SABAH,17244,312,335,239,16358,351,473,486
2017,SARAWAK,19807,376,215,309,18907,408,279,401
2018,PERLIS,2093,61,37,223,1772,64,48,241
2018,KEDAH,23239,478,213,566,21982,509,218,579
2018,PERAK,38278,633,294,332,37019,693,435,571
2018,PULAU PINANG,45734,381,115,61,45177,390,136,85
2018,SELANGOR,163078,1004,242,188,161644,1046,280,215
2018,KUALA LUMPUR,72284,227,59,347,71651,229,84,368
2018,NEGERI SEMBILAN ,25123,341,180,455,24147,362,223,573
2018,MELAKA,19120,185,90,42,18803,191,110,56
2018,JOHOR,78812,898,173,196,77545,977,242,332
2018,PAHANG,20641,425,93,79,20044,485,167,163
2018,KELANTAN,10983,380,185,1208,9210,420,240,1386
2018,TERENGGANU,10607,256,114,162,10075,275,149,236
2018,SABAH,18006,280,243,187,17296,310,366,329
2018,SARAWAK,20600,321,204,190,19885,333,266,243
2019,PERLIS,2098,74,17,188,1819,76,18,198
2019,KEDAH,24867,439,219,768,23441,446,220,779
2019,PERAK,39720,616,354,347,38403,667,465,595
2019,PULAU PINANG,47198,370,104,37,46687,392,110,42
2019,SELANGOR,168222,1008,353,447,166414,1054,369,455
2019,KUALA LUMPUR,73771,209,50,294,73218,209,51,316
2019,NEGERI SEMBILAN ,25838,313,283,569,24673,337,325,651
2019,MELAKA,19593,202,68,84,19239,217,82,107
2019,JOHOR,82502,966,189,209,81138,1040,264,305
2019,PAHANG,21196,398,141,158,20499,454,181,232
2019,KELANTAN,11295,310,172,1220,9593,338,193,1282
2019,TERENGGANU,11355,251,151,229,10724,277,172,285
2019,SABAH,18520,256,284,253,17727,291,359,307
2019,SARAWAK,21341,352,196,248,20545,369,213,301
2020,PERLIS,1615,43,9,190,1373,46,9,190
2020,KEDAH,19651,343,149,1008,18151,354,153,1010
2020,PERAK,30669,430,360,1497,28382,491,387,1516
2020,PULAU PINANG,35234,278,86,156,34714,287,87,157
2020,SELANGOR,123230,764,411,1973,120082,805,413,1973
2020,KUALA LUMPUR,50215,161,37,216,49801,163,37,219
2020,NEGERI SEMBILAN ,19905,219,455,1055,18176,235,479,1086
2020,MELAKA,14543,142,110,108,14183,151,119,116
2020,JOHOR,58207,638,319,698,56552,697,335,703
2020,PAHANG,17000,313,124,315,16248,356,127,322
2020,KELANTAN,9752,265,233,1659,7595,276,233,1659
2020,TERENGGANU,9152,208,134,210,8600,238,167,217
2020,SABAH,12906,190,146,211,12359,220,160,225
2020,SARAWAK,16158,303,134,358,15363,315,134,369
2021,PERLIS,905,20,9,82,794,20,10,86
2021,KEDAH,10632,218,101,588,9725,231,102,720
2021,PERAK,15590,290,107,901,14292,331,150,1031
2021,PULAU PINANG,18166,239,51,243,17686,189,53,250
2021,SELANGOR,60370,367,308,954,58688,436,312,967
2021,KUALA LUMPUR,22037,98,24,128,21787,101,27,142
2021,NEGERI SEMBILAN ,9611,133,193,436,8849,154,220,506
2021,MELAKA,7130,72,72,103,6883,75,74,112
2021,JOHOR,28157,358,159,321,27319,372,179,334
2021,PAHANG,8071,161,109,501,7300,176,129,189
2021,KELANTAN,4403,130,91,794,3388,133,102,803
2021,TERENGGANU,4539,93,71,87,4288,106,80,89
2021,SABAH,7159,99,90,107,6863,118,106,122
2021,SARAWAK,7883,143,77,185,7478,156,86,224
